fwd_byte_count,fwd_packet_count,fwd_bytes_rate,fwd_packet_rate,fwd_avg_packet_rate,fwd_avg_bytes_rate,rev_byte_count,rev_packet_count,rev_bytes_rate,rev_packet_rate,rev_avg_packet_rate,rev_avg_bytes_rate,type
1176,12,107.8,1.1,1.0,98.0,1176,12,107.8,1.1,1.0,98.0,0
2058,21,88.2,0.9,1.0,93.5,2058,21,88.2,0.9,1.0,93.5,0
1372,14,98.0,1.0,1.0,98.0,1372,14,98.0,1.0,1.0,98.0,0
3038,31,98.0,1.0,1.0,94.9,3038,31,98.0,1.0,1.0,94.9,0
2254,23,88.2,0.9,1.0,93.9,2254,23,88.2,0.9,1.0,93.9,0
1764,18,98.0,1.0,1.0,98.0,1764,18,98.0,1.0,1.0,98.0,0
1078,11,88.2,0.9,0.9,89.8,1078,11,88.2,0.9,0.9,89.8,0
4018,41,98.0,1.0,1.0,95.7,4018,41,98.0,1.0,1.0,95.7,0
3234,33,98.0,1.0,1.0,95.1,3234,33,98.0,1.0,1.0,95.1,0
2646,27,88.2,0.9,1.0,94.5,2646,27,88.2,0.9,1.0,94.5,0
2058,21,98.0,1.0,1.0,93.5,2058,21,98.0,1.0,1.0,93.5,0
4900,50,88.2,0.9,1.0,94.2,4900,50,88.2,0.9,1.0,94.2,0
4214,43,98.0,1.0,1.0,95.8,4214,43,98.0,1.0,1.0,95.8,0
3626,37,98.0,1.0,1.0,95.4,3626,37,98.0,1.0,1.0,95.4,0
3038,31,98.0,1.0,1.0,94.9,3038,31,98.0,1.0,1.0,94.9,0
5880,60,98.0,1.0,1.0,94.8,5880,60,98.0,1.0,1.0,94.8,0
5096,52,88.2,0.9,1.0,94.4,5096,52,88.2,0.9,1.0,94.4,0
4606,47,98.0,1.0,1.0,96.0,4606,47,98.0,1.0,1.0,96.0,0
4018,41,98.0,1.0,1.0,95.7,4018,41,98.0,1.0,1.0,95.7,0
6860,70,98.0,1.0,1.0,95.3,6860,70,98.0,1.0,1.0,95.3,0
6076,62,98.0,1.0,1.0,94.9,6076,62,98.0,1.0,1.0,94.9,0
5586,57,98.0,1.0,1.0,96.3,5586,57,98.0,1.0,1.0,96.3,0
4998,51,98.0,1.0,1.0,96.1,4998,51,98.0,1.0,1.0,96.1,0
7840,80,98.0,1.0,1.0,95.6,7840,80,98.0,1.0,1.0,95.6,0
7056,72,98.0,1.0,1.0,95.4,7056,72,98.0,1.0,1.0,95.4,0
6566,67,98.0,1.0,1.0,96.6,6566,67,98.0,1.0,1.0,96.6,0
5880,60,88.2,0.9,1.0,94.8,5880,60,88.2,0.9,1.0,94.8,0
8820,90,98.0,1.0,1.0,95.9,8820,90,98.0,1.0,1.0,95.9,0
8036,82,98.0,1.0,1.0,95.7,8036,82,98.0,1.0,1.0,95.7,0
7448,76,88.2,0.9,1.0,95.5,7448,76,88.2,0.9,1.0,95.5,0
6860,70,98.0,1.0,1.0,95.3,6860,70,98.0,1.0,1.0,95.3,0
9702,99,88.2,0.9,1.0,95.1,9702,99,88.2,0.9,1.0,95.1,0
9016,92,98.0,1.0,1.0,95.9,9016,92,98.0,1.0,1.0,95.9,0
8428,86,98.0,1.0,1.0,95.8,8428,86,98.0,1.0,1.0,95.8,0
7840,80,98.0,1.0,1.0,95.6,7840,80,98.0,1.0,1.0,95.6,0
10682,109,98.0,1.0,1.0,95.4,10682,109,98.0,1.0,1.0,95.4,0
9898,101,88.2,0.9,1.0,95.2,9898,101,88.2,0.9,1.0,95.2,0
9408,96,98.0,1.0,1.0,96.0,9408,96,98.0,1.0,1.0,96.0,0
8820,90,98.0,1.0,1.0,95.9,8820,90,98.0,1.0,1.0,95.9,0
11662,119,98.0,1.0,1.0,95.6,11662,119,98.0,1.0,1.0,95.6,0
10878,111,98.0,1.0,1.0,95.4,10878,111,98.0,1.0,1.0,95.4,0
10388,106,98.0,1.0,1.0,96.2,10388,106,98.0,1.0,1.0,96.2,0
9702,99,88.2,0.9,1.0,95.1,9702,99,88.2,0.9,1.0,95.1,0
12642,129,98.0,1.0,1.0,95.8,12642,129,98.0,1.0,1.0,95.8,0
11858,121,98.0,1.0,1.0,95.6,11858,121,98.0,1.0,1.0,95.6,0
11368,116,98.0,1.0,1.0,95.5,11368,116,98.0,1.0,1.0,96.3,0
10682,109,98.0,1.0,1.0,95.4,10682,109,98.0,1.0,1.0,95.4,0
13622,139,98.0,1.0,1.0,95.9,13622,139,98.0,1.0,1.0,95.9,0
12838,131,98.0,1.0,1.0,95.8,12838,131,98.0,1.0,1.0,95.8,0
12250,125,88.2,0.9,1.0,95.0,12250,125,88.2,0.9,1.0,95.7,0
11662,119,98.0,1.0,1.0,95.6,11662,119,98.0,1.0,1.0,95.6,0
14504,148,88.2,0.9,1.0,95.4,14504,148,88.2,0.9,1.0,95.4,0
13818,141,98.0,1.0,1.0,96.0,13818,141,98.0,1.0,1.0,96.0,0
13230,135,98.0,1.0,1.0,95.2,13230,135,98.0,1.0,1.0,95.2,0
12642,129,98.0,1.0,1.0,95.8,12642,129,98.0,1.0,1.0,95.8,0
15484,158,98.0,1.0,1.0,95.6,15484,158,98.0,1.0,1.0,95.6,0
14700,150,88.2,0.9,1.0,95.5,14700,150,88.2,0.9,1.0,95.5,0
14210,145,98.0,1.0,1.0,95.4,14210,145,98.0,1.0,1.0,95.4,0
13622,139,98.0,1.0,1.0,95.9,13622,139,98.0,1.0,1.0,95.9,0
16464,168,98.0,1.0,1.0,95.7,16464,168,98.0,1.0,1.0,95.7,0
15680,160,98.0,1.0,1.0,95.6,15680,160,98.0,1.0,1.0,95.6,0
15190,155,98.0,1.0,1.0,95.5,15190,155,98.0,1.0,1.0,95.5,0
14504,148,88.2,0.9,1.0,95.4,14504,148,88.2,0.9,1.0,95.4,0
17444,178,98.0,1.0,1.0,95.8,17444,178,98.0,1.0,1.0,95.8,0
16660,170,98.0,1.0,1.0,95.7,16660,170,98.0,1.0,1.0,95.7,0
16170,165,98.0,1.0,1.0,95.7,16170,165,98.0,1.0,1.0,95.7,0
15484,158,98.0,1.0,1.0,95.6,15484,158,98.0,1.0,1.0,95.6,0
18424,188,98.0,1.0,1.0,96.0,18424,188,98.0,1.0,1.0,96.0,0
17640,180,98.0,1.0,1.0,95.9,17640,180,98.0,1.0,1.0,95.9,0
17052,174,88.2,0.9,1.0,95.3,17052,174,88.2,0.9,1.0,95.3,0
16464,168,98.0,1.0,1.0,95.7,16464,168,98.0,1.0,1.0,95.7,0
19306,197,88.2,0.9,1.0,95.6,19306,197,88.2,0.9,1.0,95.6,0
18620,190,98.0,1.0,1.0,96.0,18620,190,98.0,1.0,1.0,96.0,0
18032,184,98.0,1.0,1.0,95.4,18032,184,98.0,1.0,1.0,95.4,0
17444,178,98.0,1.0,1.0,95.8,17444,178,98.0,1.0,1.0,95.8,0
20286,207,98.0,1.0,1.0,95.7,20286,207,98.0,1.0,1.0,95.7,0
19502,199,88.2,0.9,1.0,95.6,19502,199,88.2,0.9,1.0,95.6,0
18914,193,88.2,0.9,1.0,95.0,18914,193,88.2,0.9,1.0,95.0,0
18326,187,88.2,0.9,1.0,95.4,18326,187,88.2,0.9,1.0,95.4,0
21168,216,88.2,0.9,1.0,95.4,21168,216,88.2,0.9,1.0,95.4,0
20482,209,98.0,1.0,1.0,95.7,20482,209,98.0,1.0,1.0,95.7,0
19894,203,98.0,1.0,1.0,95.2,19894,203,98.0,1.0,1.0,95.2,0
19306,197,98.0,1.0,1.0,95.6,19306,197,98.0,1.0,1.0,95.6,0
22148,226,98.0,1.0,1.0,95.5,22148,226,98.0,1.0,1.0,95.5,0
21364,218,88.2,0.9,1.0,95.4,21364,218,88.2,0.9,1.0,95.4,0
20874,213,98.0,1.0,1.0,95.3,20874,213,98.0,1.0,1.0,95.3,0
20286,207,98.0,1.0,1.0,95.7,20286,207,98.0,1.0,1.0,95.7,0
23128,236,98.0,1.0,1.0,95.6,23128,236,98.0,1.0,1.0,95.6,0
22344,228,98.0,1.0,1.0,95.5,22344,228,98.0,1.0,1.0,95.5,0
21854,223,98.0,1.0,1.0,95.4,21854,223,98.0,1.0,1.0,95.4,0
21168,216,88.2,0.9,1.0,95.4,21168,216,88.2,0.9,1.0,95.4,0
24108,246,98.0,1.0,1.0,95.7,24108,246,98.0,1.0,1.0,95.7,0
23324,238,98.0,1.0,1.0,95.6,23324,238,98.0,1.0,1.0,95.6,0
22834,233,98.0,1.0,1.0,95.5,22834,233,98.0,1.0,1.0,95.5,0
22148,226,98.0,1.0,1.0,95.5,22148,226,98.0,1.0,1.0,95.5,0
25088,256,98.0,1.0,1.0,95.8,25088,256,98.0,1.0,1.0,95.8,0
24304,248,98.0,1.0,1.0,95.7,24304,248,98.0,1.0,1.0,95.7,0
23716,242,88.2,0.9,1.0,95.2,23716,242,88.2,0.9,1.0,95.2,0
23128,236,98.0,1.0,1.0,95.6,23128,236,98.0,1.0,1.0,95.6,0
fwd_byte_count,fwd_packet_count,fwd_bytes_rate,fwd_packet_rate,fwd_avg_packet_rate,fwd_avg_bytes_rate,rev_byte_count,rev_packet_count,rev_bytes_rate,rev_packet_rate,rev_avg_packet_rate,rev_avg_bytes_rate,type
59202,897,2079.0,31.5,56.1,3700.1,79243,898,2782.5,31.5,56.1,4952.7,1
77418,1173,1821.6,27.6,45.1,2977.6,103599,1174,2435.6,27.6,45.2,3984.6,1
104016,1576,2659.8,40.3,43.8,2889.3,139112,1577,3551.3,40.3,43.8,3864.2,1
124938,1893,2092.2,31.7,41.2,2716.0,167023,1894,2791.1,31.7,41.2,3630.9,1
176088,2668,5115.0,77.5,47.6,3144.4,235415,2669,6839.2,77.5,47.7,4203.8,1
246708,3738,7062.0,107.0,56.6,3738.0,329681,3739,9426.6,107.0,56.7,4995.2,1
132167,1499,10197.2,115.7,83.3,7342.6,98868,1498,7636.2,115.7,83.2,5492.7,1
265584,4024,1887.6,28.6,52.9,3494.5,354933,4025,2525.2,28.6,53.0,4670.2,1
180159,2044,4799.2,54.5,73.0,6434.2,134838,2043,3597.0,54.5,73.0,4815.6,1
335742,5087,7015.8,106.3,59.2,3904.0,448700,5088,9376.7,106.3,59.2,5217.4,1
379566,5751,4382.4,66.4,59.9,3953.8,507165,5752,5846.5,66.4,59.9,5283.0,1
12227,139,-16793.2,-190.5,139.0,12227.0,9174,139,-12566.4,-190.4,139.0,9174.0,1
424050,6425,4448.4,67.4,60.6,4000.5,566672,6426,5950.7,67.4,60.6,5346.0,1
62004,704,4977.7,56.5,64.0,5636.7,46464,704,3729.0,56.5,64.0,4224.0,1
358,5,0.0,0.0,0.5,35.8,346,5,0.0,0.0,0.5,34.6,1
2703,31,254.7,2.9,3.1,270.3,1980,30,191.4,2.9,3.0,198.0,1
66,1,-20.6,-0.3,0.2,11.0,67,1,-29.1,-0.4,0.2,11.2,1
473484,7174,4943.4,74.9,61.8,4081.8,632618,7175,6594.6,74.9,61.9,5453.6,1
132284,1501,7028.0,79.7,71.5,6299.2,99066,1501,5260.2,79.7,71.5,4717.4,1
92543,1050,8984.0,101.9,52.5,4627.1,69234,1049,6725.4,101.9,52.5,3461.7,1
524238,7943,5075.4,76.9,63.0,4160.6,700453,7944,6783.5,76.9,63.0,5559.2,1
145811,1655,1352.7,15.4,53.4,4703.6,109230,1655,1016.4,15.4,53.4,3523.5,1
151397,1718,5885.4,66.8,57.3,5046.6,113322,1717,4408.8,66.8,57.2,3777.4,1
535986,8121,1174.8,17.8,59.7,3941.1,716124,8122,1567.1,17.8,59.7,5265.6,1
228349,2591,7695.2,87.3,64.8,5708.7,170940,2590,5761.8,87.3,64.8,4273.5,1
15569,177,-13024.2,-147.8,22.1,1946.1,11682,177,-9754.8,-147.8,22.1,1460.2,1
585882,8877,4989.6,75.6,60.8,4012.9,782671,8878,6654.7,75.6,60.8,5360.8,1
311827,3539,8347.8,94.8,70.8,6236.5,233508,3538,6256.8,94.8,70.8,4670.2,1
23636,268,806.7,9.1,89.3,7878.7,17688,268,600.6,9.1,89.3,5896.0,1
632874,9589,4699.2,71.2,61.5,4056.9,845279,9590,6260.8,71.2,61.5,5418.5,1
402966,4572,9113.9,103.3,76.2,6716.1,301686,4571,6817.8,103.3,76.2,5028.1,1
67997,772,4436.1,50.4,59.4,5230.5,50952,772,3326.4,50.4,59.4,3919.4,1
66,1,-20.6,-0.3,0.1,8.2,67,1,-29.1,-0.4,0.1,8.4,1
641916,9726,904.2,13.7,58.6,3867.0,857386,9727,1210.7,13.7,58.6,5165.0,1
448801,5092,4583.5,52.0,72.7,6411.4,336006,5091,3432.0,52.0,72.7,4800.1,1
151715,1723,8371.8,95.1,74.9,6596.3,113718,1723,6276.6,95.1,74.9,4944.3,1
702438,10643,6052.2,91.7,60.5,3991.1,938190,10644,8080.4,91.7,60.5,5330.6,1
478750,5432,2994.9,34.0,67.9,5984.4,358446,5431,2244.0,34.0,67.9,4480.6,1
171733,1950,2001.8,22.7,59.1,5204.0,128700,1950,1498.2,22.7,59.1,3900.0,1
772398,11703,6996.0,106.0,62.9,4152.7,1031610,11704,9342.0,106.0,62.9,5546.3,1
146098,1657,7045.8,79.9,92.1,8116.6,109362,1657,5273.4,79.9,92.1,6075.7,1
88351,1002,7573.8,85.9,91.1,8031.9,66132,1002,5669.4,85.9,91.1,6012.0,1
66,1,0.0,0.0,0.1,6.6,67,1,-29.1,-0.4,0.1,6.7,1
66,1,0.0,0.0,0.2,11.0,67,1,0.0,0.0,0.2,11.2,1
59461,675,-99313.1,-1126.7,112.5,9910.2,44550,675,-74355.6,-1126.6,112.5,7425.0,1
231164,2623,8506.6,96.6,93.7,8255.9,173118,2623,6375.6,96.6,93.7,6182.8,1
169586,1924,8123.5,92.2,91.6,8075.5,126984,1924,6085.2,92.2,91.6,6046.9,1
129884,1475,7042.3,80.0,92.2,8117.8,97350,1475,5280.0,80.0,92.2,6084.4,1
255729,2902,2456.5,27.9,76.4,6729.7,191532,2902,1841.4,27.9,76.4,5040.3,1
203823,2312,3423.7,38.8,74.6,6574.9,152592,2312,2560.8,38.8,74.6,4922.3,1
298429,3387,4270.0,48.5,70.6,6217.3,223542,3387,3201.0,48.5,70.6,4657.1,1
258532,2933,5470.9,62.1,71.5,6305.7,193578,2933,4098.6,62.1,71.5,4721.4,1
47368,537,-8251.6,-93.8,67.1,5921.0,35442,537,-6190.8,-93.8,67.1,4430.2,1
388942,4414,9051.3,102.7,76.1,6705.9,291324,4414,6778.2,102.7,76.1,5022.8,1
308125,3496,4959.3,56.3,68.5,6041.7,230736,3496,3715.8,56.3,68.5,4524.2,1
130934,1484,8356.6,94.7,82.4,7274.1,97944,1484,6250.2,94.7,82.4,5441.3,1
439599,4990,5065.7,57.6,73.4,6464.7,329340,4990,3801.6,57.6,73.4,4843.2,1
365624,4148,5749.9,65.2,68.0,5993.8,273768,4148,4303.2,65.2,68.0,4488.0,1
