fwd_byte_count,fwd_packet_count,fwd_bytes_rate,fwd_packet_rate,fwd_avg_packet_rate,fwd_avg_bytes_rate,rev_byte_count,rev_packet_count,rev_bytes_rate,rev_packet_rate,rev_avg_packet_rate,rev_avg_bytes_rate,type
217240,2463,8630.6,97.9,88.0,7758.6,162558,2463,6461.4,97.9,88.0,5805.6,1
66,1,0.0,0.0,0.1,8.2,67,1,0.0,0.0,0.1,8.4,1
498753,5662,5915.4,67.2,72.6,6394.3,373692,5662,4435.2,67.2,72.6,4790.9,1
444306,5041,7868.2,89.3,71.0,6257.8,332706,5041,5893.8,89.3,71.0,4686.0,1
278705,3160,6146.5,69.7,83.2,7334.3,208560,3160,4600.2,69.7,83.2,5488.4,1
527131,5984,2837.8,32.2,68.0,5990.1,394944,5984,2125.2,32.2,68.0,4488.0,1
481254,5461,3694.8,42.0,67.4,5941.4,360426,5461,2772.0,42.0,67.4,4449.7,1
404987,4594,12628.2,143.4,95.7,8437.2,303204,4594,9464.4,143.4,95.7,6316.8,1
475026,5388,7003.9,79.4,92.9,8190.1,355608,5388,5240.4,79.4,92.9,6131.2,1
13382,152,-51374.9,-583.2,152.0,13382.0,10032,152,-38491.2,-583.2,152.0,10032.0,1
525147,5957,5012.1,56.9,87.6,7722.8,393162,5957,3755.4,56.9,87.6,5781.8,1
96808,1098,8342.6,94.6,99.8,8800.7,72468,1098,6243.6,94.6,99.8,6588.0,1
23843,271,-45741.1,-519.0,33.9,2980.4,17886,271,-34254.0,-519.0,33.9,2235.8,1
546823,6203,2167.6,24.6,79.5,7010.6,409398,6203,1623.6,24.6,79.5,5248.7,1
152948,1736,5614.0,63.8,82.7,7283.2,114576,1736,4210.8,63.8,82.7,5456.0,1
96729,1097,7288.6,82.6,60.9,5373.8,72402,1097,5451.6,82.6,60.9,4022.3,1
66,1,0.0,0.0,0.1,7.3,67,1,0.0,0.0,0.1,7.4,1
402,6,33.6,0.5,1.0,67.0,337,5,27.0,0.4,0.8,56.2,1
225876,2563,7292.8,82.7,82.7,7286.3,169158,2563,5458.2,82.7,82.7,5456.7,1
194142,2203,9741.3,110.6,78.7,6933.6,145398,2203,7299.6,110.6,78.7,5192.8,1
319451,3626,9357.5,106.3,88.4,7791.5,239316,3626,7015.8,106.3,88.4,5837.0,1
256095,2906,6195.3,70.3,76.5,6739.3,191796,2906,4639.8,70.3,76.5,5047.3,1
358586,4070,3913.5,44.4,79.8,7031.1,268620,4070,2930.4,44.4,79.8,5267.1,1
348569,3956,9247.4,105.0,82.4,7261.9,261096,3956,6930.0,105.0,82.4,5439.5,1
390832,4436,3224.6,36.6,72.7,6407.1,292776,4436,2415.6,36.6,72.7,4799.6,1
456193,5177,10762.4,122.1,89.3,7865.4,341682,5177,8058.6,122.1,89.3,5891.1,1
463428,5259,723.5,8.2,77.3,6815.1,347094,5259,541.2,8.2,77.3,5104.3,1
199,3,13.2,0.2,0.4,24.9,336,5,27.0,0.4,0.6,42.0,1
50363,572,-34046.9,-386.4,63.6,5595.9,37752,572,-25502.4,-386.4,63.6,4194.7,1
21440,244,6.6,0.1,16.3,1429.3,16104,244,13.2,0.2,16.3,1073.6,1
199,3,19.9,0.3,0.3,19.9,336,5,27.0,0.4,0.5,33.6,1
fwd_byte_count,fwd_packet_count,fwd_bytes_rate,fwd_packet_rate,fwd_avg_packet_rate,fwd_avg_bytes_rate,rev_byte_count,rev_packet_count,rev_bytes_rate,rev_packet_rate,rev_avg_packet_rate,rev_avg_bytes_rate,type
79000,500,7520.8,47.6,50.0,7900.0,0,0,0,0,0,0,2
154208,976,7520.8,47.6,48.8,7710.4,0,0,0,0,0,0,2
230048,1456,7584.0,48.0,48.5,7668.3,0,0,0,0,0,0,2
300832,1904,7078.4,44.8,47.6,7520.8,0,0,0,0,0,0,2
376672,2384,7584.0,48.0,47.7,7533.4,0,0,0,0,0,0,2
452670,2865,7599.8,48.1,47.8,7544.5,0,0,0,0,0,0,2
528668,3346,7599.8,48.1,47.8,7552.4,0,0,0,0,0,0,2
604350,3825,7568.2,47.9,47.8,7554.4,0,0,0,0,0,0,2
680190,4305,7584.0,48.0,47.8,7557.7,0,0,0,0,0,0,2
830606,5257,7599.8,48.1,47.8,7551.0,0,0,0,0,0,0,2
117710,745,7599.8,48.1,49.7,7847.3,0,0,0,0,0,0,2
906288,5736,7568.2,47.9,47.8,7552.4,0,0,0,0,0,0,2
193392,1224,7568.2,47.9,49.0,7735.7,0,0,0,0,0,0,2
981654,6213,7536.6,47.7,47.8,7551.2,0,0,0,0,0,0,2
268758,1701,7536.6,47.7,48.6,7678.8,0,0,0,0,0,0,2
1057810,6695,7615.6,48.2,47.8,7555.8,0,0,0,0,0,0,2
344914,2183,7615.6,48.2,48.5,7664.8,0,0,0,0,0,0,2
1133808,7176,7599.8,48.1,47.8,7558.7,0,0,0,0,0,0,2
420912,2664,7599.8,48.1,48.4,7652.9,0,0,0,0,0,0,2
1209648,7656,7584.0,48.0,47.9,7560.3,0,0,0,0,0,0,2
496752,3144,7584.0,48.0,48.4,7642.3,0,0,0,0,0,0,2
1285804,8138,7615.6,48.2,47.9,7563.6,0,0,0,0,0,0,2
572908,3626,7615.6,48.2,48.3,7638.8,0,0,0,0,0,0,2
1361644,8618,7584.0,48.0,47.9,7564.7,0,0,0,0,0,0,2
648748,4106,7584.0,48.0,48.3,7632.3,0,0,0,0,0,0,2
1433692,9074,7204.8,45.6,47.8,7545.7,0,0,0,0,0,0,2
720796,4562,7204.8,45.6,48.0,7587.3,0,0,0,0,0,0,2
1588374,10053,7678.8,48.6,47.9,7563.7,0,0,0,0,0,0,2
875320,5540,7678.8,48.6,48.2,7611.5,0,0,0,0,0,0,2
1665004,10538,7663.0,48.5,47.9,7568.2,0,0,0,0,0,0,2
951950,6025,7663.0,48.5,48.2,7615.6,0,0,0,0,0,0,2
137776,872,7663.0,48.5,48.4,7654.2,0,0,0,0,0,0,2
1741476,11022,7647.2,48.4,47.9,7571.6,0,0,0,0,0,0,2
1028422,6509,7647.2,48.4,48.2,7617.9,0,0,0,0,0,0,2
214248,1356,7647.2,48.4,48.4,7651.7,0,0,0,0,0,0,2
1817948,11506,7647.2,48.4,47.9,7574.8,0,0,0,0,0,0,2
1104894,6993,7647.2,48.4,48.2,7620.0,0,0,0,0,0,0,2
290720,1840,7647.2,48.4,48.4,7650.5,0,0,0,0,0,0,2
1894578,11991,7663.0,48.5,48.0,7578.3,0,0,0,0,0,0,2
1181524,7478,7663.0,48.5,48.2,7622.7,0,0,0,0,0,0,2
367350,2325,7663.0,48.5,48.4,7653.1,0,0,0,0,0,0,2
1970892,12474,7631.4,48.3,48.0,7580.4,0,0,0,0,0,0,2
1257838,7961,7631.4,48.3,48.2,7623.3,0,0,0,0,0,0,2
443664,2808,7631.4,48.3,48.4,7649.4,0,0,0,0,0,0,2
2047206,12957,7631.4,48.3,48.0,7582.2,0,0,0,0,0,0,2
1334152,8444,7631.4,48.3,48.3,7623.7,0,0,0,0,0,0,2
519978,3291,7631.4,48.3,48.4,7646.7,0,0,0,0,0,0,2
2119254,13413,7204.8,45.6,47.9,7568.8,0,0,0,0,0,0,2
1406200,8900,7204.8,45.6,48.1,7601.1,0,0,0,0,0,0,2
592026,3747,7204.8,45.6,48.0,7590.1,0,0,0,0,0,0,2
2195094,13893,7584.0,48.0,47.9,7569.3,0,0,0,0,0,0,2
1482040,9380,7584.0,48.0,48.1,7600.2,0,0,0,0,0,0,2
667866,4227,7584.0,48.0,48.0,7589.4,0,0,0,0,0,0,2
1635458,10351,7868.4,49.8,48.1,7606.8,0,0,0,0,0,0,2
821284,5198,7868.4,49.8,48.1,7604.5,0,0,0,0,0,0,2
199,3,19.9,0.3,0.3,19.9,336,5,27.0,0.4,0.5,33.6,2
66,1,-20.6,-0.3,0.1,8.2,67,1,-29.1,-0.4,0.1,8.4,2
1712088,10836,7663.0,48.5,48.2,7609.3,0,0,0,0,0,0,2
897914,5683,7663.0,48.5,48.2,7609.4,0,0,0,0,0,0,2
1788402,11319,7631.4,48.3,48.2,7610.2,0,0,0,0,0,0,2
974228,6166,7631.4,48.3,48.2,7611.2,0,0,0,0,0,0,2
1864558,11801,7615.6,48.2,48.2,7610.4,0,0,0,0,0,0,2
1050384,6648,7615.6,48.2,48.2,7611.5,0,0,0,0,0,0,2
1937080,12260,7252.2,45.9,48.1,7596.4,0,0,0,0,0,0,2
1122906,7107,7252.2,45.9,48.0,7587.2,0,0,0,0,0,0,2
2013552,12744,7647.2,48.4,48.1,7598.3,0,0,0,0,0,0,2
1199378,7591,7647.2,48.4,48.0,7591.0,0,0,0,0,0,0,2
2090024,13228,7647.2,48.4,48.1,7600.1,0,0,0,0,0,0,2
1275850,8075,7647.2,48.4,48.1,7594.3,0,0,0,0,0,0,2
2166496,13712,7647.2,48.4,48.1,7601.7,0,0,0,0,0,0,2
1352322,8559,7647.2,48.4,48.1,7597.3,0,0,0,0,0,0,2
2243126,14197,7663.0,48.5,48.1,7603.8,0,0,0,0,0,0,2
1428952,9044,7663.0,48.5,48.1,7600.8,0,0,0,0,0,0,2
2276780,14410,3365.4,21.3,47.2,7464.9,0,0,0,0,0,0,2
1504634,9523,7568.2,47.9,48.1,7599.2,0,0,0,0,0,0,2
199,3,13.2,0.2,0.6,39.8,336,5,27.0,0.4,1.0,67.2,2
1583792,10024,7915.8,50.1,48.2,7614.4,0,0,0,0,0,0,2
66,1,0.0,0.0,0.1,8.2,67,1,0.0,0.0,0.1,8.4,2
fwd_byte_count,fwd_packet_count,fwd_bytes_rate,fwd_packet_rate,fwd_avg_packet_rate,fwd_avg_bytes_rate,rev_byte_count,rev_packet_count,rev_bytes_rate,rev_packet_rate,rev_avg_packet_rate,rev_avg_bytes_rate,type
fwd_byte_count,fwd_packet_count,fwd_bytes_rate,fwd_packet_rate,fwd_avg_packet_rate,fwd_avg_bytes_rate,rev_byte_count,rev_packet_count,rev_bytes_rate,rev_packet_rate,rev_avg_packet_rate,rev_avg_bytes_rate,type
1352,6,120.6,0.5,0.5,112.7,0,0,0,0,0,0,3
3015,12,166.3,0.6,0.5,137.0,0,0,0,0,0,0,3
4401,17,138.6,0.5,0.5,137.5,0,0,0,0,0,0,3
2381,9,158.6,0.6,0.5,140.1,0,0,0,0,0,0,3
6081,23,168.0,0.6,0.5,144.8,0,0,0,0,0,0,3
3587,14,120.6,0.5,0.5,132.9,0,0,0,0,0,0,3
2407,9,164.9,0.6,0.5,141.6,0,0,0,0,0,0,3
7065,28,98.4,0.5,0.5,135.9,0,0,0,0,0,0,3
5080,20,149.3,0.6,0.5,137.3,0,0,0,0,0,0,3
3798,14,139.1,0.5,0.5,140.7,0,0,0,0,0,0,3
8527,34,146.2,0.6,0.5,137.5,0,0,0,0,0,0,3
6691,26,161.1,0.6,0.6,142.4,0,0,0,0,0,0,3
5443,20,164.5,0.6,0.5,147.1,0,0,0,0,0,0,3
10233,40,170.6,0.6,0.6,142.1,0,0,0,0,0,0,3
7948,31,125.7,0.5,0.5,139.4,0,0,0,0,0,0,3
6901,26,145.8,0.6,0.6,146.8,0,0,0,0,0,0,3
11433,45,120.0,0.5,0.5,139.4,0,0,0,0,0,0,3
9329,37,138.1,0.6,0.6,139.2,0,0,0,0,0,0,3
8146,31,124.5,0.5,0.5,142.9,0,0,0,0,0,0,3
13020,51,158.7,0.6,0.6,141.5,0,0,0,0,0,0,3
10681,42,135.2,0.5,0.5,138.7,0,0,0,0,0,0,3
9726,37,158.0,0.6,0.6,145.2,0,0,0,0,0,0,3
14874,57,185.4,0.6,0.6,145.8,0,0,0,0,0,0,3
12298,48,161.7,0.6,0.6,141.4,0,0,0,0,0,0,3
11263,43,153.7,0.6,0.6,146.3,0,0,0,0,0,0,3
66,1,-20.6,-0.3,0.5,33.0,67,1,-29.1,-0.4,0.5,33.5,3
16454,62,158.0,0.5,0.6,146.9,0,0,0,0,0,0,3
13878,54,158.0,0.6,0.6,143.1,0,0,0,0,0,0,3
12365,48,110.2,0.5,0.6,142.1,0,0,0,0,0,0,3
17821,68,136.7,0.6,0.6,146.1,0,0,0,0,0,0,3
15186,59,130.8,0.5,0.6,141.9,0,0,0,0,0,0,3
14148,54,178.3,0.6,0.6,145.9,0,0,0,0,0,0,3
67,1,-29.1,-0.4,0.2,11.2,66,1,-20.6,-0.3,0.2,11.0,3
19108,73,128.7,0.5,0.6,144.8,0,0,0,0,0,0,3
16728,65,154.2,0.6,0.6,143.0,0,0,0,0,0,0,3
15429,59,128.1,0.5,0.6,144.2,0,0,0,0,0,0,3
66,1,-20.6,-0.3,0.2,11.0,67,1,-29.1,-0.4,0.2,11.2,3
20626,79,151.8,0.6,0.6,145.3,0,0,0,0,0,0,3
18066,70,133.8,0.5,0.6,142.3,0,0,0,0,0,0,3
16983,65,155.4,0.6,0.6,145.2,0,0,0,0,0,0,3
21977,84,135.1,0.5,0.6,144.6,0,0,0,0,0,0,3
19545,76,147.9,0.6,0.6,142.7,0,0,0,0,0,0,3
18251,70,126.8,0.5,0.6,143.7,0,0,0,0,0,0,3
23547,90,157.0,0.6,0.6,145.4,0,0,0,0,0,0,3
20920,82,137.5,0.6,0.6,142.3,0,0,0,0,0,0,3
19711,76,146.0,0.6,0.6,143.9,0,0,0,0,0,0,3
25015,96,146.8,0.6,0.6,145.4,0,0,0,0,0,0,3
22145,87,122.5,0.5,0.6,141.1,0,0,0,0,0,0,3
21018,82,130.7,0.6,0.6,143.0,0,0,0,0,0,0,3
26348,101,133.3,0.5,0.6,144.8,0,0,0,0,0,0,3
23480,93,133.5,0.6,0.6,140.6,0,0,0,0,0,0,3
22145,87,112.7,0.5,0.6,141.1,0,0,0,0,0,0,3
27722,107,137.4,0.6,0.6,144.4,0,0,0,0,0,0,3
24648,98,116.8,0.5,0.6,139.3,0,0,0,0,0,0,3
23710,93,156.5,0.6,0.6,142.0,0,0,0,0,0,0,3
29220,113,149.8,0.6,0.6,144.7,0,0,0,0,0,0,3
25885,104,123.7,0.6,0.6,138.4,0,0,0,0,0,0,3
25439,99,172.9,0.6,0.6,143.7,0,0,0,0,0,0,3
66,1,0.0,0.0,0.5,33.0,67,1,0.0,0.0,0.5,33.5,3
30410,118,119.0,0.5,0.6,143.4,0,0,0,0,0,0,3
27344,109,145.9,0.5,0.6,138.8,0,0,0,0,0,0,3
26767,104,132.8,0.5,0.6,143.1,0,0,0,0,0,0,3
31878,124,146.8,0.6,0.6,143.6,0,0,0,0,0,0,3
28852,115,150.8,0.6,0.6,139.4,0,0,0,0,0,0,3
28271,110,150.4,0.6,0.6,143.5,0,0,0,0,0,0,3
66,1,0.0,0.0,0.2,11.0,67,1,0.0,0.0,0.2,11.2,3
33232,129,135.4,0.5,0.6,143.2,0,0,0,0,0,0,3
30380,121,152.8,0.6,0.6,140.0,0,0,0,0,0,0,3
29677,115,140.6,0.5,0.6,143.4,0,0,0,0,0,0,3
66,1,0.0,0.0,0.2,11.0,67,1,0.0,0.0,0.2,11.2,3
34509,135,127.7,0.6,0.6,142.6,0,0,0,0,0,0,3
31353,126,97.3,0.5,0.6,138.1,0,0,0,0,0,0,3
31034,121,135.7,0.6,0.6,143.0,0,0,0,0,0,0,3
35771,140,126.2,0.5,0.6,141.9,0,0,0,0,0,0,3
32857,132,150.4,0.6,0.6,138.6,0,0,0,0,0,0,3
32274,126,124.0,0.5,0.6,142.2,0,0,0,0,0,0,3
37320,146,154.9,0.6,0.6,142.4,0,0,0,0,0,0,3
34756,138,189.9,0.6,0.6,140.7,0,0,0,0,0,0,3
33748,132,147.4,0.6,0.6,142.4,0,0,0,0,0,0,3
